"","VCN.TO","VEE.TO","VFV.TO","VVL.TO","VAB.TO","VBU.TO","XSU.TO"
"1",24.953989,24.178642,44.143147,23.583284,23.086565,23.083908,23.503963
"2",25.166437,24.549507,44.468754,23.987988,23.006983,23.056816,23.942753
"3",24.768093,23.762545,43.743107,22.700291,23.183826,23.255434,23.06517
"4",24.378605,23.545454,43.14772,21.909275,23.289928,23.327662,22.311592
"5",24.679581,24.124367,43.771019,22.341578,23.325298,23.345711,22.645456
"6",25.024807,24.621868,44.338505,22.691092,23.254562,23.336693,23.170101
"7",25.051363,24.721369,44.701332,22.838261,23.387197,23.372791,23.542116
"8",25.449707,24.513325,45.203701,22.755476,23.449087,23.632259,23.933212
"9",25.370039,24.649004,44.757149,22.626709,23.546349,23.514736,23.33226
"10",25.405449,24.531416,44.924603,22.304783,23.625931,23.514736,23.475348
"11",25.210701,24.513325,45.03624,22.626709,23.634764,23.487606,23.523039
"12",25.493967,25.110327,45.864216,23.270557,23.643612,23.568979,24.05722
"13",25.644451,25.508331,46.329369,23.702858,23.634764,23.487606,24.35293
"14",25.848045,25.662106,46.320065,24.098366,23.47562,23.38817,24.68679
"15",25.874609,25.535467,46.143307,23.90521,23.546349,23.451448,24.553247
"16",25.910015,25.72542,46.106102,23.923605,23.47562,23.424328,24.639099
"17",25.856899,25.770647,46.189823,24.006386,23.342987,23.33392,24.667713
"18",25.945425,25.951561,46.320065,24.153553,23.378349,23.31584,24.715408
"19",25.927717,25.861105,46.496822,24.107561,23.422567,23.38817,24.562786
"20",25.927717,26.096289,46.859646,24.337507,23.378349,23.36105,24.753569
"21",26.016235,26.087238,46.720104,24.365103,23.387197,23.379122,24.639099
"22",26.060497,26.394787,47.213161,24.512266,23.449087,23.379122,24.829876
"23",25.839199,26.340517,47.352715,24.641037,23.431406,23.351997,24.77264
"24",25.980831,26.421923,47.250374,24.779007,23.422567,23.397196,24.915728
"25",25.980831,26.421923,47.185246,24.677828,23.502384,23.424328,24.944344
"26",25.989685,26.367649,47.185246,24.613445,23.502384,23.424328,24.915728
"27",26.060497,26.250059,46.887554,24.659431,23.608803,23.487606,24.963423
"28",25.856899,26.141512,46.701492,24.300714,23.520119,23.408831,24.600943
"29",25.954275,26.241018,46.7108,24.190342,23.520119,23.363552,24.810797
"30",25.963129,26.295286,46.552647,24.190342,23.555597,23.426941,24.839415
"31",26.140167,26.838015,47.482948,24.760609,23.528988,23.381664,25.201895
"32",26.388035,27.009882,47.44574,24.944569,23.537859,23.372608,25.182816
"33",26.467693,27.109386,47.34341,25.091732,23.599937,23.417879,25.211433
"34",26.379173,26.928473,46.952671,24.779007,23.635412,23.426941,25.039736
"35",26.458839,27.064157,46.952671,24.870985,23.555597,23.422415,25.163736
"36",26.370323,26.901339,46.831734,24.815794,23.582191,23.454103,25.173277
"37",26.423435,27.118429,46.813133,24.815794,23.546728,23.435991,25.411751
"38",26.343765,26.828974,46.329369,24.668629,23.511251,23.408831,25.201895
"39",26.290655,26.765656,46.431713,24.447882,23.493517,23.490326,25.125584
"40",26.299503,26.783749,46.189823,24.55826,23.520119,23.463165,25.306824
"41",26.264099,26.810879,46.478218,24.58585,23.484644,23.463165,25.316362
"42",26.370323,26.666151,46.803829,24.88018,23.555597,23.454103,25.3736
"43",26.414585,26.44906,46.766613,24.870985,23.582191,23.472218,25.554838
"44",26.175575,26.55761,46.571251,24.824993,23.564463,23.481268,25.335438
"45",26.157867,26.55761,46.51543,24.944569,23.537859,23.445049,25.3736
"46",26.202135,26.485243,46.701492,24.926172,23.502384,23.381664,25.344978
"47",26.272953,26.738518,46.999191,24.898577,23.553932,23.454103,25.573914
"48",26.272953,26.847067,47.185246,25.110126,23.545046,23.435991,25.516682
"49",26.095913,26.620926,47.175945,25.211304,23.580595,23.435991,25.402212
"50",26.299503,26.684242,47.045708,25.165318,23.616154,23.444162,25.316362
"51",26.485397,26.910381,46.924767,25.248095,23.589491,23.407881,25.592993
"52",26.520805,27.073206,46.51543,25.211304,23.598377,23.480436,25.650223
"53",26.520805,27.172707,46.720104,25.330875,23.651711,23.489504,25.821924
"54",26.503099,27.145567,46.701492,25.468843,23.500603,23.389734,25.774231
"55",26.060497,26.566658,45.985165,25.110126,23.393948,23.299044,25.011114
"56",26.210985,26.783749,46.7108,25.386065,23.393948,23.308121,25.306824
"57",25.737921,26.342422,46.441845,25.248095,23.258705,23.235563,24.858492
"58",25.764648,26.433788,46.488529,25.027346,23.312088,23.280905,24.839415
"59",26.014097,26.799274,46.815392,25.13772,23.312088,23.289976,25.144661
"60",25.871555,26.726183,46.82473,25.13772,23.303185,23.289976,25.087429
"61",26.014097,26.918058,46.806053,25.432053,23.338778,23.299044,25.268669
"62",26.049736,27.000294,46.852753,25.238901,23.409966,23.280905,25.240049
"63",26.343725,27.374918,46.992828,25.238901,23.436651,23.299044,25.516682
"64",26.557545,27.420605,47.114223,25.891945,23.490038,23.380672,25.860081
"65",26.343725,27.310953,47.254311,25.606812,23.605707,23.371605,25.736074
"66",26.254639,27.055119,47.095551,25.349272,23.667999,23.426016,25.573914
"67",26.121002,27.292686,47.254311,25.459646,23.694693,23.462299,25.516682
"68",26.423912,27.365782,47.179604,25.505634,23.676899,23.462299,25.745613
"69",26.495178,27.009434,46.908787,25.505634,23.712488,23.471361,25.421286
"70",26.521912,27.13735,47.132908,25.229702,23.641304,23.416952,25.650223
"71",26.379364,27.301821,46.97414,25.367666,23.641304,23.405146,25.516682
"72",26.076458,27.228725,47.020844,25.560822,23.543428,23.34157,25.392675
"73",26.263548,27.566799,47.207623,25.73558,23.481142,23.31432,25.61207
"74",26.254639,27.612484,47.347698,25.809164,23.418861,23.268909,25.554838
"75",26.156641,27.676449,47.459774,25.809164,23.418861,23.287073,25.383137
"76",26.192276,27.320095,46.91811,25.211304,23.356565,23.268909,25.173277
"77",26.299185,27.301821,47.067539,25.404459,23.338778,23.232578,25.173277
"78",26.325909,26.991161,46.70332,25.202105,23.347675,23.386978,24.915728
"79",26.236822,26.972885,46.535225,25.146917,23.285393,23.232578,24.906187
"80",26.227915,26.863239,46.301762,25.01815,23.320986,23.259827,24.829876
"81",26.521912,27.329233,46.572578,25.01815,23.338778,23.305239,24.972963
"82",26.691177,27.493704,46.70332,25.395262,23.356565,23.3234,25.087429
"83",26.682266,27.639894,46.97414,25.570019,23.383263,23.287073,25.020655
"84",26.869356,27.877462,47.366367,25.845957,23.472248,23.34157,24.972963
"85",26.851536,28.133303,47.805309,26.002317,23.454453,23.305239,25.144661
"86",26.753538,28.060204,47.487782,25.873547,23.472248,23.305239,24.934803
"87",26.619902,27.886599,47.506466,25.873547,23.454453,23.268909,24.70587
"88",26.73572,27.703856,47.394394,25.928736,23.337503,23.196249,24.362471
"89",26.619902,27.521118,47.226295,25.79077,23.328568,23.178089,24.333851
"90",26.655542,27.831772,47.366367,25.928736,23.399994,23.205328,24.429243
"91",26.610994,27.575939,46.946136,25.643602,23.391062,23.207146,24.152609
"92",26.299185,27.246994,46.66597,25.551624,23.382133,23.198057,23.89506
"93",26.245726,27.128216,46.423161,25.478041,23.399994,23.188957,23.723358
"94",26.129913,26.927198,46.432495,25.514832,23.453562,23.252642,23.885521
"95",26.361546,27.767813,47.329029,25.845957,23.373207,23.198057,24.410164
"96",26.406092,27.740408,47.272987,25.891945,23.310717,23.161665,24.496014
"97",26.584269,27.192177,48.057453,26.287453,23.123222,22.979719,25.259127
"98",26.593178,26.598259,48.561745,27.041676,23.033943,22.834169,25.716999
"99",26.227915,26.251047,48.711174,27.041676,23.150009,22.834169,26.33703
"100",26.352638,26.141405,48.757862,27.510767,22.819674,22.743193,26.642277
"101",26.628813,26.406382,48.757862,27.648731,22.828606,22.779572,26.699509
"102",26.602093,26.168816,48.60844,27.40959,22.935734,22.770487,26.709045
"103",26.762447,26.333282,49.122063,27.731512,22.8911,22.7159,26.890289
"104",26.842628,26.269321,49.01001,27.501568,22.864321,22.634014,27.004755
"105",27.172262,26.30587,49.019348,27.529161,22.882175,22.643122,27.090605
"106",27.288076,26.707905,49.299519,27.648731,22.900028,22.643122,27.40539
"107",27.261353,26.525158,49.476948,27.915472,22.855389,22.58853,27.558016
"108",27.261353,26.516027,49.729099,27.860285,22.864321,22.58853,27.643862
"109",27.288076,26.799274,49.887859,28.274187,22.900028,22.58853,27.710636
"110",27.118807,26.643946,49.150097,27.565954,22.960875,22.661322,27.271847
"111",27.092079,26.680492,49.299519,27.565954,22.969822,22.67041,27.252768
"112",27.305895,26.735319,49.187447,27.630341,22.889288,22.597631,27.138302
"113",27.198988,26.214502,48.571079,27.262424,22.719276,22.521109,26.937983
"114",27.252445,26.113993,48.440338,27.299213,22.817701,22.612211,26.966602
"115",27.305895,26.232771,48.711174,27.547558,22.817701,22.612211,27.47216
"116",27.368254,26.415514,48.925953,27.547558,22.799818,22.630434,27.758331
"117",27.573164,26.698771,49.383553,28.283384,22.844551,22.685087,27.987268
"118",27.680071,26.698771,49.318188,28.559319,22.737167,22.630434,28.435595
"119",27.715706,26.589121,49.570339,28.504133,22.638741,22.566656,28.464214
"120",27.662249,26.269321,49.336872,28.237398,22.585062,22.548439,28.15897
"121",27.876066,26.506893,49.710415,28.356968,22.594006,22.566656,28.15897
