VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$25.42,0.9157%,0.0080%,0.0052%,0.8928%,0.7229%,,alpha1,0.09614
$25.42,0.0000%,0.0000%,0.0055%,0.0230%,0.7409%,,beta1,0.88201
$24.73,-2.7727%,0.0782%,0.0050%,2.7957%,0.7040%,,,
$24.56,-0.6617%,0.0047%,0.0120%,0.6846%,1.0954%,,,
$24.60,0.1397%,0.0001%,0.0111%,0.1167%,1.0559%,,,
$24.76,0.6608%,0.0041%,0.0100%,0.6378%,0.9980%,,,
$24.76,0.0000%,0.0000%,0.0093%,0.0230%,0.9639%,,,
$24.53,-0.9403%,0.0093%,0.0083%,0.9633%,0.9115%,,,
$24.33,-0.8080%,0.0069%,0.0083%,0.8310%,0.9130%,,,
$24.13,-0.8502%,0.0076%,0.0081%,0.8731%,0.9016%,,,
$24.61,1.9726%,0.0380%,0.0080%,1.9496%,0.8954%,,,
$24.61,0.0000%,0.0000%,0.0108%,0.0230%,1.0411%,,,
$24.61,0.0000%,0.0000%,0.0097%,0.0230%,0.9836%,,,
$24.62,0.0349%,0.0000%,0.0086%,0.0119%,0.9300%,,,
$25.07,1.8311%,0.0327%,0.0077%,1.8082%,0.8799%,,,
$25.48,1.6299%,0.0258%,0.0101%,1.6070%,1.0043%,,,
$25.48,0.0000%,0.0000%,0.0115%,0.0230%,1.0721%,,,
$25.47,-0.0337%,0.0000%,0.0103%,0.0566%,1.0125%,,,
$25.51,0.1347%,0.0001%,0.0092%,0.1117%,0.9570%,,,
$25.15,-1.4233%,0.0209%,0.0082%,1.4462%,0.9058%,,,
$25.33,0.7142%,0.0048%,0.0094%,0.6912%,0.9676%,,,
$25.33,0.0000%,0.0000%,0.0088%,0.0230%,0.9397%,,,
$25.69,1.4132%,0.0193%,0.0079%,1.3903%,0.8890%,,,
$25.99,1.1626%,0.0130%,0.0089%,1.1397%,0.9457%,,,
$25.83,-0.5962%,0.0038%,0.0093%,0.6192%,0.9618%,,,
$26.01,0.6623%,0.0041%,0.0086%,0.6393%,0.9296%,,,
$26.01,0.0000%,0.0000%,0.0081%,0.0230%,0.9016%,,,
$26.11,0.3952%,0.0014%,0.0073%,0.3723%,0.8535%,,,
$26.11,0.0000%,0.0000%,0.0067%,0.0230%,0.8169%,,,
$26.14,0.1314%,0.0001%,0.0060%,0.1084%,0.7746%,,,
$26.40,0.9801%,0.0092%,0.0054%,0.9571%,0.7361%,,,
$26.40,0.0000%,0.0000%,0.0058%,0.0230%,0.7598%,,,
$26.42,0.0650%,0.0000%,0.0052%,0.0420%,0.7216%,,,
$26.27,-0.5538%,0.0033%,0.0047%,0.5768%,0.6862%,,,
$26.20,-0.2617%,0.0008%,0.0046%,0.2847%,0.6773%,,,
$26.20,0.0000%,0.0000%,0.0042%,0.0230%,0.6510%,,,
$26.21,0.0328%,0.0000%,0.0039%,0.0098%,0.6207%,,,
